,EXPERIMENT,WELL,CELL,SIRNA,PRIMARY_1,PRIMARY_2,SECONDARY_1,SECONDARY_2,TotalNumberCells,IF_488_Intensity_BGS,IF_488_FC
42,250822_PTEFB_SIRNA,E05,HCT116,HEXIM2 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3113,773.2417682355251,1.0533843877782376
43,250822_PTEFB_SIRNA,E06,HCT116,LARP7 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2713,900.476923129964,1.2267163665307403
44,250822_PTEFB_SIRNA,E07,HCT116,HEXIM1 pool + HEXIM2 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,1347,2454.7777392667876,3.3441345931296915
45,250822_PTEFB_SIRNA,E08,HCT116,HEXIM2 pool + LARP7 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3022,934.5275202444,1.2731033684599329
46,250822_PTEFB_SIRNA,E09,HCT116,HEXIM1 pool + LARP7 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2193,1515.4283343733944,2.064462389128829
47,250822_PTEFB_SIRNA,E10,HCT116,INTS8 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2495,246.8235847988342,0.3362468524635561
48,250822_PTEFB_SIRNA,E11,HCT116,SPT5 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,1260,1565.953722887902,2.133292938167924
49,250822_PTEFB_SIRNA,E12,HCT116,POLR2B,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,161,1947.9106245521457,2.6536314060903
50,250822_PTEFB_SIRNA,E13,HCT116,Scrambled,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3098,677.6576158696265,0.9231704521665942
51,250822_PTEFB_SIRNA,E14,HCT116,HEXIM1 #1,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3555,1196.4373249474495,1.6299021222440204
52,250822_PTEFB_SIRNA,E15,HCT116,HEXIM1 #2,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,1689,2079.2818456594696,2.8325979324764776
53,250822_PTEFB_SIRNA,E16,HCT116,HEXIM1 #3,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2307,1547.7558421842598,2.108502032902149
54,250822_PTEFB_SIRNA,E17,HCT116,HEXIM2 #1,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3789,821.6856846829103,1.1193793551542957
55,250822_PTEFB_SIRNA,E18,HCT116,HEXIM2 #2,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3799,715.2070604625641,0.9743239210152874
56,250822_PTEFB_SIRNA,E19,HCT116,HEXIM2 #3,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2437,775.5138823077469,1.0564796803364644
57,250822_PTEFB_SIRNA,E20,HCT116,LARP7 #1,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,4211,707.7165713113188,0.9641196554765166
