,EXPERIMENT,WELL,CELL,SIRNA,PRIMARY_1,PRIMARY_2,SECONDARY_1,SECONDARY_2,TotalNumberCells,IF_488_Intensity_BGS,IF_488_FC
41,250822_PTEFB_SIRNA,K04,HCT116,HEXIM1 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2583,658.2305022095306,0.3942647529937245
42,250822_PTEFB_SIRNA,K05,HCT116,HEXIM2 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2788,1958.8353133322767,1.1732967681897144
43,250822_PTEFB_SIRNA,K06,HCT116,LARP7 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2245,2604.310709856323,1.5599215097047616
44,250822_PTEFB_SIRNA,K07,HCT116,HEXIM1 pool + HEXIM2 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,1471,523.9845654797368,0.31385456095990877
45,250822_PTEFB_SIRNA,K08,HCT116,HEXIM2 pool + LARP7 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2405,2476.629447258108,1.4834434047077563
46,250822_PTEFB_SIRNA,K09,HCT116,HEXIM1 pool + LARP7 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,1802,750.3991457535583,0.449471625599402
47,250822_PTEFB_SIRNA,K10,HCT116,INTS8 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2712,5483.93731780159,3.2847508354267303
48,250822_PTEFB_SIRNA,K11,HCT116,SPT5 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,890,2578.047353859648,1.5441903706432067
49,250822_PTEFB_SIRNA,K12,HCT116,POLR2B,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,126,3057.016758081531,1.8310818975675842
50,250822_PTEFB_SIRNA,K13,HCT116,Scrambled,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2931,1917.02068453849,1.14825077861985
51,250822_PTEFB_SIRNA,K14,HCT116,HEXIM1 #1,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2571,708.7961457303867,0.42455239673827533
52,250822_PTEFB_SIRNA,K15,HCT116,HEXIM1 #2,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,1170,487.3808016354292,0.2919297582315742
53,250822_PTEFB_SIRNA,K16,HCT116,HEXIM1 #3,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,1151,402.41730407630735,0.2410386003982855
54,250822_PTEFB_SIRNA,K17,HCT116,HEXIM2 #1,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3510,1712.5918895588193,1.0258026877354078
55,250822_PTEFB_SIRNA,K18,HCT116,HEXIM2 #2,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3272,1562.8500942607445,0.9361108370267952
56,250822_PTEFB_SIRNA,K19,HCT116,HEXIM2 #3,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2103,1916.5176851635151,1.1479494936996513
57,250822_PTEFB_SIRNA,K20,HCT116,LARP7 #1,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3480,1825.535587364901,1.093453334383104
58,250822_PTEFB_SIRNA,K21,HCT116,LARP7 #2,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,1034,3026.2847958593443,1.8126741673668862
59,250822_PTEFB_SIRNA,K22,HCT116,LARP7 #3,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2787,1664.847078006633,0.9972046566958761
60,250822_PTEFB_SIRNA,L03,HCT116,LARP7 #3,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3197,1517.4128333469648,0.9088949751201402
61,250822_PTEFB_SIRNA,L04,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3123,1434.2040768898948,0.8590548663720065
62,250822_PTEFB_SIRNA,L05,HCT116,HEXIM1 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2328,661.4862323905014,0.3962148596072981
63,250822_PTEFB_SIRNA,L06,HCT116,HEXIM2 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3119,2052.2369727884134,1.2292421886329552
64,250822_PTEFB_SIRNA,L07,HCT116,LARP7 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2312,2732.078011298975,1.6364511499673557
65,250822_PTEFB_SIRNA,L08,HCT116,HEXIM1 pool + HEXIM2 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2011,524.0616655190804,0.3139007420892633
66,250822_PTEFB_SIRNA,L09,HCT116,HEXIM2 pool + LARP7 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,1767,2551.9306202663456,1.528547054989189
67,250822_PTEFB_SIRNA,L10,HCT116,HEXIM1 pool + LARP7 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2115,750.4447676761355,0.44949895206934776
68,250822_PTEFB_SIRNA,L11,HCT116,INTS8 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2293,5838.9780125274565,3.4974119493358136
69,250822_PTEFB_SIRNA,L12,HCT116,SPT5 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,847,2661.9003811406433,1.5944163826219007
70,250822_PTEFB_SIRNA,L13,HCT116,POLR2B,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,154,2637.7021806625958,1.5799222236573058
71,250822_PTEFB_SIRNA,L14,HCT116,Scrambled,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2803,1960.4222338062295,1.1742472966240296
72,250822_PTEFB_SIRNA,L15,HCT116,HEXIM1 #1,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2545,635.7498931213647,0.38079939130121393
73,250822_PTEFB_SIRNA,L16,HCT116,HEXIM1 #2,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,1853,563.0280544483041,0.33724070226228386
74,250822_PTEFB_SIRNA,L17,HCT116,HEXIM1 #3,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,1395,440.166584996379,0.26364954119741774
75,250822_PTEFB_SIRNA,L18,HCT116,HEXIM2 #1,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3461,1740.2136553255868,1.0423474826373895
76,250822_PTEFB_SIRNA,L19,HCT116,HEXIM2 #2,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3757,1582.5589762244908,0.9479159986732626
77,250822_PTEFB_SIRNA,L20,HCT116,HEXIM2 #3,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,1507,2020.8763355300434,1.2104578967156214
78,250822_PTEFB_SIRNA,L21,HCT116,LARP7 #1,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3036,1521.599053335855,0.9114024234750202
79,250822_PTEFB_SIRNA,L22,HCT116,LARP7 #2,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,838,3162.4167810175536,1.8942140585186664
80,250822_PTEFB_SIRNA,M03,HCT116,LARP7 #2,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,925,2452.615782947277,1.4690597786129413
81,250822_PTEFB_SIRNA,M04,HCT116,LARP7 #3,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3150,1742.2129936599122,1.0435450397725992
82,250822_PTEFB_SIRNA,M05,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2984,1644.1249361352404,0.9847925759445274
83,250822_PTEFB_SIRNA,M06,HCT116,HEXIM1 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2327,618.2789963945569,0.3703347307310158
84,250822_PTEFB_SIRNA,M07,HCT116,HEXIM2 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2905,1848.6016755966039,1.1072693844577768
85,250822_PTEFB_SIRNA,M08,HCT116,LARP7 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2250,2608.927965101284,1.56268713814731
86,250822_PTEFB_SIRNA,M09,HCT116,HEXIM1 pool + HEXIM2 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,1714,477.87348608779575,0.28623509746541614
87,250822_PTEFB_SIRNA,M10,HCT116,HEXIM2 pool + LARP7 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2490,2377.294972184852,1.4239443657737452
88,250822_PTEFB_SIRNA,M11,HCT116,HEXIM1 pool + LARP7 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,1590,703.0364563909702,0.4211024768589885
89,250822_PTEFB_SIRNA,M12,HCT116,INTS8 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,1854,5569.0494276866775,3.3357310085848817
90,250822_PTEFB_SIRNA,M13,HCT116,SPT5 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,935,2299.2883916437568,1.3772202393382766
91,250822_PTEFB_SIRNA,M14,HCT116,POLR2B,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,134,2780.7428110937954,1.6656002325549721
92,250822_PTEFB_SIRNA,M15,HCT116,Scrambled,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2841,1861.8138224615618,1.1151831529670508
93,250822_PTEFB_SIRNA,M16,HCT116,HEXIM1 #1,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3470,683.8902943895265,0.4096343713747578
94,250822_PTEFB_SIRNA,M17,HCT116,HEXIM1 #2,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,1435,498.13193897707606,0.29836943930709003
95,250822_PTEFB_SIRNA,M18,HCT116,HEXIM1 #3,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,1801,469.0102847724796,0.2809262461350893
96,250822_PTEFB_SIRNA,M19,HCT116,HEXIM2 #1,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,4063,1796.6418611077845,1.0761466647474816
97,250822_PTEFB_SIRNA,M20,HCT116,HEXIM2 #2,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3962,1708.1822889063544,1.023161439561388
98,250822_PTEFB_SIRNA,M21,HCT116,HEXIM2 #3,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2089,1594.5385561106589,0.9550914882455844
99,250822_PTEFB_SIRNA,M22,HCT116,LARP7 #1,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2948,1404.4753701217542,0.8412480628412993
100,250822_PTEFB_SIRNA,N03,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2464,1428.2622133925645,0.8554958284115449
101,250822_PTEFB_SIRNA,N04,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2654,1351.304933829534,0.8094002088434187
102,250822_PTEFB_SIRNA,N05,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2563,1588.3289525521352,0.9513720802191071
103,250822_PTEFB_SIRNA,N07,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2820,1629.517878154286,0.9760432881380613
104,250822_PTEFB_SIRNA,N08,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2406,1508.9850828718813,0.9038469487096384
