,WELL,IF_488_Intensity,FISH_647_Intensity,DAPI_Intensity,NucleusArea,CELL,SIRNA,PRIMARY,SECONDARY,FISH,TotalNumberCells,ROW,COLUMN,FISH_647_Intensity_BGS,FISH_647_Intensity_FC,IF_488_Intensity_BGS,IF_488_Intensity_FC,EXPERIMENT
53,I08,532.830993162182,383.7295812977903,499.9092937946359,5370.020359281437,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,4175,I,8,211.25754794827625,0.9864251154623614,306.94099316218205,0.8148190441488585,251024_LARP7_7SK
54,I09,567.3478663829196,396.10425395113714,504.1371613845314,5449.647158131683,HCT116,Scrambled,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3554,I,9,223.63222060162312,1.0442061889408591,341.45786638291963,0.9064490521024328,251024_LARP7_7SK
55,I10,621.587265041611,213.99128701530262,519.2107576738279,5706.2819672131145,HCT116,LARP7 pool,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2745,I,10,41.5192536657886,0.19386589965161416,395.697265041611,1.0504353424801791,251024_LARP7_7SK
56,I11,628.1868323185479,350.99443507639035,513.8771160474855,5100.76290367099,HCT116,ARMC5 pool,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3623,I,11,178.52240172687632,0.8335748589639395,402.2968323185479,1.067954843687854,251024_LARP7_7SK
57,I12,455.36978250368,390.7247876882261,241.63179594167187,2750.183673469388,HCT116,POLR2B,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,49,I,12,218.2527543387121,1.0190878408342292,229.47978250368004,0.6091871115186537,251024_LARP7_7SK
58,I13,583.134097328282,219.7838166245304,485.5442542116084,4925.023446019629,HCT116,LARP7 pool + ARMC5,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,1834,I,13,47.31178327501638,0.2209129649238128,357.244097328282,0.9483558742479413,251024_LARP7_7SK
59,I14,500.7783087048536,247.40658839430026,217.18928546795217,2591.2625,HCT116,LARP7 pool + POLR2B,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,80,I,14,74.93455504478624,0.3498920054220816,274.8883087048536,0.729730579936698,251024_LARP7_7SK
60,J05,531.9663195975934,361.3972592489072,475.5988164816088,5233.8508715300195,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,4647,J,5,188.92522589939315,0.8821487780270443,306.0763195975934,0.8125236437198039,251024_LARP7_7SK
61,J06,521.3802855003048,377.67650600314425,478.9396603189361,5306.7531380753135,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,4541,J,6,205.20447265363023,0.958161483916825,295.4902855003048,0.7844214925681582,251024_LARP7_7SK
62,J07,530.1404926278261,369.95709329727055,488.1437068890513,5548.83110984956,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3523,J,7,197.48505994775653,0.9221172211501406,304.25049262782613,0.8076767232385735,251024_LARP7_7SK
63,J08,540.4711500151195,373.61548704940014,471.60204653717796,5721.2165137614675,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3815,J,8,201.14345369988612,0.9391993633713255,314.58115001511953,0.835100940157348,251024_LARP7_7SK
64,J09,535.7876157576054,397.17573656174596,491.11394740270396,5088.170358883473,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,4514,J,9,224.70370321223194,1.0492092639464656,309.8976157576054,0.8226678243730069,251024_LARP7_7SK
65,J10,551.467623114188,394.38491805934007,500.2798058094364,5296.03129314312,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,4346,J,10,221.91288470982605,1.0361780918524666,325.577623114188,0.8642926607134134,251024_LARP7_7SK
66,J11,579.1979819980992,389.52124735806467,488.0036253238935,5135.270807708077,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,4878,J,11,217.04921400855065,1.013468148564423,353.3079819980992,0.9379068895816781,251024_LARP7_7SK
67,J12,557.4255630415595,379.07976075649486,499.5118096744919,5253.579119850187,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,4272,J,12,206.60772740698084,0.9647137029761691,331.5355630415595,0.8801088697726969,251024_LARP7_7SK
68,J13,501.0020945041432,172.47203334951402,482.4126190364859,5363.724326791419,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,No probes,4382,J,13,0.0,0.0,275.1120945041432,0.730324651550244,251024_LARP7_7SK
69,J14,577.4550019920969,371.0640408520804,463.17635710525684,5387.738449691992,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3896,J,14,198.59200750256636,0.9272858926611411,351.5650019920969,0.9332798982898667,251024_LARP7_7SK
