,WELL,CELL_IF_647_Intensity,CELL_IF_561_Intensity,CellArea,NUCLEUS_IF_647_Intensity,NUCLEUS_IF_561_Intensity,Nucleus_DAPI_Intensity,NucleusArea,CYTOPLASM_IF_647_Intensity,CYTOPLASM_IF_561_Intensity,CytoplasmArea,CELL,CELL_STAIN,DRUG,DRUG_TIME_MINUTES,PRIMARY_1,SECONDARY_1,PRIMARY_2,SECONDARY_2,TotalNumberCells,CELL_IF_647_Intensity_BGS,CELL_IF_561_Intensity_BGS,NUCLEUS_IF_647_Intensity_BGS,NUCLEUS_IF_561_Intensity_BGS,CYTOPLASM_IF_647_Intensity_BGS,CYTOPLASM_IF_561_Intensity_BGS,NUCLEUS_IF_647_Intensity_NORMED,CYTOPLASM_IF_647_Intensity_NORMED,EXPERIMENT
1,D05,418.7425341058018,458.07175517772436,9394.21492857583,525.4858074515104,587.1373652297154,603.4148809895644,5668.101878667715,229.55119085968263,223.42214458803113,3130.8225686603573,HCT116,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,275887,271.21831838469893,336.6885148516978,377.9615917304076,465.7541249036889,82.02697513857981,102.03890426200456,1.4275126998327263,1.4919319828949915,260306_CytoplasmicPOLR2A
2,D06,379.6696751208834,405.736766511378,11937.885963548319,505.7528791683848,551.776220586318,627.1446028030704,6063.488815709097,218.75515402154514,211.79524783239728,5369.646217666071,HCT116,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,180074,232.1454593997806,284.3535261853514,358.228663447282,430.39298026029144,71.23093830044232,90.41200750637071,1.3529839478500576,1.2955703272308872,260306_CytoplasmicPOLR2A
3,D07,382.1745965366245,418.6426753453414,10671.769266644997,498.34331878171105,558.1544745438708,590.160904219639,5596.430548685407,223.22629956480253,219.0237549389429,4531.6888741278835,HCT116,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,212271,234.6503808155217,297.2594350193148,350.8191030606082,436.77123421784427,75.70208384369971,97.64051461291632,1.3249989838124978,1.376892904650016,260306_CytoplasmicPOLR2A
4,D08,380.00927350209156,409.47020148551064,11117.396379292053,505.5596532276492,557.2287833058839,636.5204022675279,5724.677252193142,216.05738401247885,208.2466360310408,4854.299384077596,HCT116,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,179081,232.48505778098874,288.0869611594841,358.0354375065464,435.8455429798573,68.53316829137603,86.86339570501423,1.3522541581296939,1.2465024522760801,260306_CytoplasmicPOLR2A
5,D09,393.228337999864,418.6025955325382,11017.346768915811,510.9551962752494,555.0331733001562,659.8599711174096,5898.918100000559,217.71088045634997,209.36757864873348,4617.923973173583,HCT116,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,178779,245.70412227876116,297.21935520651164,363.4309805541466,433.6499329741297,70.18666473524715,87.98433832270692,1.3726324356887463,1.276576756784405,260306_CytoplasmicPOLR2A
6,D10,390.5626169863034,434.75686330159385,9846.120308587057,498.83246407506545,567.0698901681503,615.456400725859,5550.675773527086,222.4152225253217,220.90959872664232,3797.76932993937,HCT116,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,242784,243.03840126520058,313.3736229755673,351.30824835396265,445.68664984212376,74.89100680421888,99.52635840061575,1.326846423165079,1.3621407847071691,260306_CytoplasmicPOLR2A
7,D11,389.22751153900913,429.9577827975229,10579.722443736193,512.1416238240356,580.7629114168126,641.3776615446745,5650.314117181631,224.7776373785554,218.98104578764162,4327.124520485227,HCT116,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,224967,241.7032958179063,308.57454247149633,364.6174081029328,459.379671090786,77.25342165745258,97.59780546161505,1.3771134211390663,1.4051091164108678,260306_CytoplasmicPOLR2A
16,E04,333.24437674501536,390.8719091559618,10152.270715779148,416.79105729494796,503.654575807124,597.2512727666594,5688.471913476678,205.21325567218312,209.09536444133076,4029.879775947962,HCT116,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,193705,185.72016102391254,269.48866882993525,269.2668415738451,382.2713354810974,57.689039951080304,87.71212411530419,1.0169864991591062,1.049266093502979,260306_CytoplasmicPOLR2A
17,E05,340.96349742680604,396.7016681695326,9875.95253868395,428.85875102210707,514.1142854981833,602.9018329981373,5584.8387705334735,204.7532424632933,206.85947769470036,3745.096237250977,HCT116,Concanavalin A 488,Vehicle,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,251784,193.43928170570322,275.318427843506,281.3345353010043,392.73104517215677,57.229026742190484,85.4762373686738,1.0625646383936849,1.0408992310441672,260306_CytoplasmicPOLR2A
18,E06,347.8689737500208,422.54665204852455,13175.633601789215,484.57636018065176,623.3145853032437,632.1143840368089,6387.112442985259,199.68334474190272,200.45870436327024,6019.956393363153,HCT116,Concanavalin A 488,Mg132,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,181532,200.344758028918,301.163411722498,337.0521444595489,501.9313449772171,52.159129020799895,79.07546403724368,1.2730029379944316,0.9486863639017397,260306_CytoplasmicPOLR2A
