,EXPERIMENT,WELL,CELL,CELL_STAIN,DRUG,DRUG_TIME_MINUTES,PRIMARY_1,SECONDARY_1,PRIMARY_2,SECONDARY_2,TotalNumberCells,CellArea,NucleusArea,NucleusArea,CELL_IF_647_Intensity,NUCLEUS_IF_647_Intensity,CYTOPLASM_IF_647_Intensity,CELL_IF_647_Intensity_BGS,NUCLEUS_IF_647_Intensity_BGS,CYTOPLASM_IF_647_Intensity_BGS,NUCLEUS_IF_647_Intensity_NORMED,CYTOPLASM_IF_647_Intensity_NORMED
46,260119_CytoplasmicPOLR2A,G11,HCT116,Concanavalin A 488,Media only,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,174617,10895.705973645177,5323.863959408305,5323.863959408305,358.11257890684965,497.26327680782333,202.81150412079225,198.04506140215594,337.19575930312965,42.74398661609854,0.7709644784409775,0.7662692705627855
47,260119_CytoplasmicPOLR2A,G12,HCT116,Concanavalin A 488,No addition,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,200258,11193.455956815707,5418.70568466678,5418.70568466678,353.4294204673453,491.4419551341618,200.67890774141594,193.3619029626516,331.37443762946805,40.61139023672223,0.757654606937116,0.7280383239104192
0,260306_CytoplasmicPOLR2A,D04,HCT116,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,249353,9728.665863254102,5490.906000729889,5490.906000729889,409.9446855107305,527.5030023026778,232.86539285229304,262.42046978962765,379.97878658157504,85.34117713119022,1.4351313873689262,1.5522117133397166
1,260306_CytoplasmicPOLR2A,D05,HCT116,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,275887,9394.21492857583,5668.101878667715,5668.101878667715,418.7425341058018,525.4858074515104,229.55119085968263,271.21831838469893,377.9615917304076,82.02697513857981,1.4275126998327263,1.4919319828949915
2,260306_CytoplasmicPOLR2A,D06,HCT116,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,180074,11937.885963548319,6063.488815709097,6063.488815709097,379.6696751208834,505.7528791683848,218.75515402154514,232.1454593997806,358.228663447282,71.23093830044232,1.3529839478500576,1.2955703272308872
3,260306_CytoplasmicPOLR2A,D07,HCT116,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,212271,10671.769266644997,5596.430548685407,5596.430548685407,382.1745965366245,498.34331878171105,223.22629956480253,234.6503808155217,350.8191030606082,75.70208384369971,1.3249989838124978,1.376892904650016
4,260306_CytoplasmicPOLR2A,D08,HCT116,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,179081,11117.396379292053,5724.677252193142,5724.677252193142,380.00927350209156,505.5596532276492,216.05738401247885,232.48505778098874,358.0354375065464,68.53316829137603,1.3522541581296939,1.2465024522760801
5,260306_CytoplasmicPOLR2A,D09,HCT116,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,178779,11017.346768915811,5898.918100000559,5898.918100000559,393.228337999864,510.9551962752494,217.71088045634997,245.70412227876116,363.4309805541466,70.18666473524715,1.3726324356887463,1.276576756784405
6,260306_CytoplasmicPOLR2A,D10,HCT116,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,242784,9846.120308587057,5550.675773527086,5550.675773527086,390.5626169863034,498.83246407506545,222.4152225253217,243.03840126520058,351.30824835396265,74.89100680421888,1.326846423165079,1.3621407847071691
7,260306_CytoplasmicPOLR2A,D11,HCT116,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,224967,10579.722443736193,5650.314117181631,5650.314117181631,389.22751153900913,512.1416238240356,224.7776373785554,241.7032958179063,364.6174081029328,77.25342165745258,1.3771134211390663,1.4051091164108678
16,260306_CytoplasmicPOLR2A,E04,HCT116,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,193705,10152.270715779148,5688.471913476678,5688.471913476678,333.24437674501536,416.79105729494796,205.21325567218312,185.72016102391254,269.2668415738451,57.689039951080304,1.0169864991591062,1.049266093502979
17,260306_CytoplasmicPOLR2A,E05,HCT116,Concanavalin A 488,Vehicle,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,251784,9875.95253868395,5584.8387705334735,5584.8387705334735,340.96349742680604,428.85875102210707,204.7532424632933,193.43928170570322,281.3345353010043,57.229026742190484,1.0625646383936849,1.0408992310441672
18,260306_CytoplasmicPOLR2A,E06,HCT116,Concanavalin A 488,Mg132,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,181532,13175.633601789215,6387.112442985259,6387.112442985259,347.8689737500208,484.57636018065176,199.68334474190272,200.344758028918,337.0521444595489,52.159129020799895,1.2730029379944316,0.9486863639017397
19,260306_CytoplasmicPOLR2A,E07,HCT116,Concanavalin A 488,CB6644,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,213427,11236.091951814906,5831.90904618441,5831.90904618441,304.0319382656511,343.72388964167715,251.47474405459914,156.50772254454827,196.19967392057433,103.95052833349632,0.741021131121792,1.8906843461869034
20,260306_CytoplasmicPOLR2A,E08,HCT116,Concanavalin A 488,Leptomycin B,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,245458,9831.654278939777,6037.218342852952,6037.218342852952,343.2488927761208,380.14095818856964,273.7798121853316,195.72467705501796,232.61674246746682,126.25559646422877,0.8785637517975151,2.296375821078802
21,260306_CytoplasmicPOLR2A,E09,HCT116,Concanavalin A 488,Mg132 plus CB6644,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,187776,12284.634585889571,6222.815689971029,6222.815689971029,353.5987965285185,408.8307636662451,287.58439996342554,206.07458080741569,261.30654794514226,140.06018424232272,0.9869214859461337,2.547457931348317
22,260306_CytoplasmicPOLR2A,E10,HCT116,Concanavalin A 488,Mg132 plus leptomycin B,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,205197,10734.26316174213,5523.158798617914,5523.158798617914,404.59660638622347,492.15529074800344,299.4461173912312,257.0723906651207,344.6310750269006,151.9219016701284,1.3016275915908795,2.7632025150381136
23,260306_CytoplasmicPOLR2A,E11,HCT116,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,239984,9318.30240766051,5577.725748383225,5577.725748383225,383.9867126306407,476.85685530621885,216.06030268223913,236.46249690953786,329.332639585116,68.5360869611363,1.2438473531789942,1.246555537944002
32,260306_CytoplasmicPOLR2A,F04,HCT116,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,286607,9186.026025184312,5408.856786470672,5408.856786470672,348.1480650116022,431.78929355210465,207.44354632965994,200.6238492904994,284.2650778310018,59.91933060855712,1.0736329235594306,1.0898313094873553
33,260306_CytoplasmicPOLR2A,F05,HCT116,Concanavalin A 488,Mg132 plus leptomycin B,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,199887,10901.620405529124,5635.186170186155,5635.186170186155,379.0551294788552,456.4894165520748,284.3149543878732,231.53091375775236,308.965200830972,136.79073866677035,1.166922136117933,2.4879922444537272
34,260306_CytoplasmicPOLR2A,F06,HCT116,Concanavalin A 488,Vehicle,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,269329,9281.662587393113,5332.4233038402845,5332.4233038402845,340.58211561937134,423.3877539372116,207.96434338143982,193.05789989826852,275.86353821610874,60.440127660337,1.0419013805645483,1.099303727272299
35,260306_CytoplasmicPOLR2A,F07,HCT116,Concanavalin A 488,Mg132,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,164919,14232.189559723258,6585.257526422061,6585.257526422061,337.6328581438925,488.0313749239591,191.76791736996893,190.1086424227897,340.5071592028563,44.24370164886611,1.2860520877813195,0.804718123764646
36,260306_CytoplasmicPOLR2A,F08,HCT116,Concanavalin A 488,CB6644,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,280393,9662.8423213133,5626.161879932809,5626.161879932809,298.7211462919542,327.77203175924905,249.2589060809806,151.19693057085138,180.24781603814623,101.73469035987779,0.6807729995356193,1.8503820000846654
37,260306_CytoplasmicPOLR2A,F09,HCT116,Concanavalin A 488,Leptomycin B,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,307682,8764.954105212524,5726.989606151806,5726.989606151806,312.86639413162857,340.0963363914669,256.59359888929123,165.34217841052575,192.57212067036406,109.06938316818841,0.7273203254121784,1.9837876604414098
38,260306_CytoplasmicPOLR2A,F10,HCT116,Concanavalin A 488,Mg132 plus CB6644,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,246861,10489.517319463179,5912.6121704116895,5912.6121704116895,339.40766948659495,380.6944240364437,279.2896464571515,191.88345376549213,233.1702083153409,131.76543073604867,0.8806541216764934,2.396590390209156
39,260306_CytoplasmicPOLR2A,F11,HCT116,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,295246,8539.077857108987,5281.20584529511,5281.20584529511,345.0958806078686,417.33130765483844,208.2570226571068,197.57166488676577,269.8070919337356,60.73280693600398,1.019026955826415,1.1046270684214807
48,260306_CytoplasmicPOLR2A,G04,HCT116,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,208064,11747.709474007997,6027.236191748692,6027.236191748692,297.4225577354513,384.1149774866652,187.12159928215652,149.89834201434846,236.5907617655624,39.597383561053704,0.8935731155570429,0.7202094539496293
49,260306_CytoplasmicPOLR2A,G05,HCT116,Concanavalin A 488,Mg132 plus CB6644,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,189693,12497.496607676614,6273.964574338536,6273.964574338536,298.5550022857944,345.3504352595698,244.05641429238293,151.03078656469157,197.82621953846697,96.5321985712801,0.7471643863551312,1.755757471055716
