,WELL,CELL_IF_647_Intensity,CELL_IF_561_Intensity,CellArea,NUCLEUS_IF_647_Intensity,NUCLEUS_IF_561_Intensity,Nucleus_DAPI_Intensity,NucleusArea,CYTOPLASM_IF_647_Intensity,CYTOPLASM_IF_561_Intensity,CytoplasmArea,CELL,CELL_STAIN,DRUG,DRUG_TIME_MINUTES,PRIMARY_1,SECONDARY_1,PRIMARY_2,SECONDARY_2,TotalNumberCells,CELL_IF_647_Intensity_BGS,CELL_IF_561_Intensity_BGS,NUCLEUS_IF_647_Intensity_BGS,NUCLEUS_IF_561_Intensity_BGS,CYTOPLASM_IF_647_Intensity_BGS,CYTOPLASM_IF_561_Intensity_BGS,NUCLEUS_IF_647_Intensity_NORMED,CYTOPLASM_IF_647_Intensity_NORMED,NUCLEUS_IF_561_Intensity_NORMED,CYTOPLASM_IF_561_Intensity_NORMED,EXPERIMENT
55,G20,285.4531366341276,709.7382138271774,13673.006790336072,331.14331255806013,808.4238991535289,489.3388044750706,6417.828322590169,243.15624418258324,613.7206912440047,6925.497383916417,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Leptomycin B,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,60969,125.38561912943388,583.148292734494,171.07579505336642,681.8339780608454,83.08872667788953,487.13077015132126,0.510589061822159,1.391487256353049,0.6035831561030359,1.4575986292250793,260119_CytoplasmicPOLR2A
56,G21,335.3185548793549,781.4006361917227,14471.33278412737,484.51664592265377,1192.639643298314,511.1907783965163,6188.4088000138745,211.25464719064445,423.79804247526886,7506.30305763194,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,57659,175.2510373746612,654.8107150990393,324.4491284179601,1066.0497222056306,51.18712968595074,297.20812138258543,0.9683437451584919,0.8572310768874146,0.9437042984006572,0.8893097641671169,260119_CytoplasmicPOLR2A
8,D14,345.4829274741863,713.7569526410954,12580.089196471888,452.5877926107044,964.4667200591317,737.283071623922,6354.498641010504,214.3286493366013,402.6530584527406,5464.8204672585825,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,171083,197.95871175308346,592.3737123150688,305.06357688960156,843.0834797331052,66.80443361549848,281.26981812671403,1.292262516134469,1.3343182861626335,1.1265989173769781,1.0336203526786887,260306_CytoplasmicPOLR2A
9,D15,356.6060690876878,810.8363679751618,9339.320388191756,437.4248296480901,1014.1564811835779,703.8574490170353,5570.798986054183,216.292806065918,452.4127330205391,3182.467572826577,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,246167,209.08185336658497,689.4531276491352,289.90061392698726,892.7732408575513,68.76859034481518,331.02949269451256,1.2280315487082505,1.3735493685770293,1.1929985473462943,1.2164789783161323,260306_CytoplasmicPOLR2A
10,D16,334.1690814724149,729.0574961202763,11471.885823886229,425.3927922219404,952.2776416466501,674.0232276234887,6136.980372894219,206.60773273711197,409.8584882650197,4704.197908382583,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,192387,186.6448657513121,607.6742557942497,277.86857650083755,830.8944013206235,59.083517016009154,288.4752479389931,1.1770633173740745,1.1801045663977052,1.1103108476028294,1.0600991229689805,260306_CytoplasmicPOLR2A
11,D17,337.6698353720348,736.77113124562,10915.979881635232,425.2726002190118,947.6180756931193,700.1482468358104,6013.124805560957,210.14732386841916,423.3551321656169,4330.607196675092,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,164576,190.145619650932,615.3878909195935,277.748384497909,826.2348353670927,62.623108147316344,301.97189183959034,1.1765541788472558,1.2508025862211465,1.1040843444333495,1.1096970710226506,260306_CytoplasmicPOLR2A
12,D18,308.4501448736869,654.7085940045324,13153.87197681203,402.337358152295,882.1155980844256,645.2711408306046,6503.831096723194,198.01434451738422,378.9888032515801,5862.477241786026,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,159393,160.92592915258408,533.3253536785058,254.81314243119218,760.7323577583991,50.4901287962814,257.60556292555356,1.0793995007192458,1.008464535622605,1.0165544353158973,0.9466581042234254,260306_CytoplasmicPOLR2A
13,D19,308.3309173203417,625.1890071132341,12393.536088144494,396.6665862668475,828.9317917216472,659.1731445769418,6345.45680896112,196.43051431219206,362.41343350868664,5234.756851543002,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,169086,160.8067015992389,503.8057667872075,249.14237054574468,707.5485513956206,48.90629859108924,241.03019318266007,1.0553778655577173,0.9768299046469399,0.9454857687951621,0.8857463447124535,260306_CytoplasmicPOLR2A
14,D20,293.99394237338396,605.5294562750241,11367.622074172248,363.71194629780524,775.1318563959906,587.8866447400742,6020.908544955388,196.34149924294115,359.1687516755907,4761.246331621423,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,169012,146.46972665228114,484.14621594899756,216.18773057670242,653.748616069964,48.817283521838334,237.78551134956416,0.9157805842339247,0.9750519622527398,0.8735937790339301,0.873822672265153,260306_CytoplasmicPOLR2A
15,D21,281.5447214329041,570.7715846227765,12228.024934366797,358.4280528363424,759.5501544254822,621.7815587507129,6244.306294536817,189.36675151043877,337.9286762312367,5313.367558444806,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,159980,134.0205057118013,449.3883442967499,210.90383711523955,638.1669140994557,41.842535789335955,216.54543590521013,0.8933977828221145,0.8357418455857198,0.8527722008713232,0.7957688859828841,260306_CytoplasmicPOLR2A
