,WELL,RFP_Intensity,GFP_Intensity,DAPI_Intensity,NucleusArea,CELL,EU,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TotalNumberCells,Alexa647_Intensity,NucleusArea2,EXPERIMENT
34,D17,250.22579621220305,187.13389196591166,505.5263934875382,1777.7045549519432,HCT116 mChPOLR2A Clone 2,"EU 1 mM, 30 mins",10 µM 5PhIAA,120,No primary,No secondary,2393,306.70409385295335,1638.6211496958995,241026_mACmChPOLR2A_ActivePolII
35,D18,252.3380052243876,187.8458631698915,512.4497298976096,1766.4740186915888,HCT116 mChPOLR2A Clone 2,"EU 1 mM, 30 mins",Vehicle,120,No primary,No secondary,2675,257.1267138772953,1637.8862329259525,241026_mACmChPOLR2A_ActivePolII
36,D19,250.6072525315169,185.53344903081944,533.1590248973948,1698.727180010199,HCT116 mChPOLR2A Clone 2,"EU 1 mM, 30 mins",10 µM 5PhIAA,120,No primary,No secondary,1961,310.1856100304845,1566.2964132641553,241026_mACmChPOLR2A_ActivePolII
37,D20,254.46877912867063,187.40516692713763,523.7786111651426,1793.4299387442572,HCT116 mChPOLR2A Clone 2,"EU 1 mM, 30 mins",Vehicle,120,No primary,No secondary,2612,267.02413902402134,1645.459352394075,241026_mACmChPOLR2A_ActivePolII
38,D21,252.54582049587583,186.53502085795753,520.7700175355233,1762.894891122278,HCT116 mChPOLR2A Clone 2,"EU 1 mM, 30 mins",10 µM 5PhIAA,120,No primary,No secondary,2388,313.58416664565664,1621.945066299294,241026_mACmChPOLR2A_ActivePolII
39,D22,253.3651943249153,185.92273674387027,540.097332082335,1683.9641943734016,HCT116 mChPOLR2A Clone 2,"EU 1 mM, 30 mins",Vehicle,120,No primary,No secondary,2346,295.75022517150694,1587.5748127151246,241026_mACmChPOLR2A_ActivePolII
40,E03,177.04419869960347,190.1354280817384,446.21611168160115,1663.7020010816657,HCT116 OsTIRF74G,No addition,No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,1849,353.5710617909965,1606.033359043579,241026_mACmChPOLR2A_ActivePolII
41,E04,182.67767427696546,250.56393236722906,522.817442162186,1816.8244604316546,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,No addition,10 µM 5PhIAA,120,Total Pol II F12,Goat anti-mouse Alexa647,695,227.88035981024396,1805.2143331121433,241026_mACmChPOLR2A_ActivePolII
42,E05,182.62310751357737,250.7999147301394,514.588977328585,1861.265306122449,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,No addition,10 µM 5PhIAA,120,Total Pol II F12,Goat anti-mouse Alexa647,686,226.6439583941356,1853.1382536382537,241026_mACmChPOLR2A_ActivePolII
43,E06,182.28949708538102,250.39207647915532,530.2358539731299,1851.2665534804753,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,No addition,10 µM 5PhIAA,120,Total Pol II F12,Goat anti-mouse Alexa647,589,225.43784604876328,1746.343125,241026_mACmChPOLR2A_ActivePolII
44,E07,181.11054336746687,246.35169734962344,523.7640095086829,1707.6228668941978,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,No addition,10 µM 5PhIAA,120,Total Pol II F12,Goat anti-mouse Alexa647,586,223.1222810835951,1717.9534632034631,241026_mACmChPOLR2A_ActivePolII
45,E08,178.51885304029153,249.06534314689924,505.39629098195394,1815.7724288840263,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,No addition,10 µM 5PhIAA,120,pSer2 3E10,Goat anti-rat Alexa647,914,412.2261831966702,1831.1898850574712,241026_mACmChPOLR2A_ActivePolII
46,E09,182.6749136549251,251.43688841644433,564.3210768263277,1585.6334196891191,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,No addition,10 µM 5PhIAA,120,pSer2 3E10,Goat anti-rat Alexa647,772,435.31083457754875,1694.706829539145,241026_mACmChPOLR2A_ActivePolII
47,E10,184.69097056565573,253.33484371122177,566.7706885618433,1770.6071987480439,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,No addition,10 µM 5PhIAA,120,pSer2 3E10,Goat anti-rat Alexa647,639,435.0977817577842,1822.070588235294,241026_mACmChPOLR2A_ActivePolII
48,E11,187.58663436615308,250.09603191216388,633.9493612559793,1700.8063973063972,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,No addition,10 µM 5PhIAA,120,pSer2 3E10,Goat anti-rat Alexa647,594,435.79681936944235,1803.1477132262053,241026_mACmChPOLR2A_ActivePolII
49,E12,188.5295716569932,390.8429952915885,619.5332367133836,1798.6481223922115,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,No addition,Vehicle,120,Total Pol II F12,Goat anti-mouse Alexa647,719,376.0216967353397,1748.3370098039215,241026_mACmChPOLR2A_ActivePolII
50,E13,187.89678138769182,379.1458204353699,621.0201145024305,1834.8556067588327,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,No addition,Vehicle,120,pSer2 3E10,Goat anti-rat Alexa647,651,494.8629589871733,1792.6718332442545,241026_mACmChPOLR2A_ActivePolII
51,E14,183.74483707960016,371.62520707935283,584.9022711790719,1799.866129032258,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,"EU 1 mM, 30 mins",Vehicle,120,No primary,No secondary,620,239.28064709045248,1746.9070262597586,241026_mACmChPOLR2A_ActivePolII
52,E15,187.66305710019202,250.62894830147943,634.9136090843268,1793.596752368065,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,"EU 1 mM, 30 mins",10 µM 5PhIAA,120,No primary,No secondary,739,203.43251583265229,1788.8429561200924,241026_mACmChPOLR2A_ActivePolII
53,E16,183.53165869610146,375.792111723576,597.5293467138126,1847.5609375,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,"EU 1 mM, 30 mins",Vehicle,120,No primary,No secondary,640,250.62332401832177,1760.2528805336567,241026_mACmChPOLR2A_ActivePolII
54,E17,187.33324897304675,251.97638589438077,652.3741720338746,1815.2770562770563,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,"EU 1 mM, 30 mins",10 µM 5PhIAA,120,No primary,No secondary,693,220.09184857524872,1867.6805239179955,241026_mACmChPOLR2A_ActivePolII
55,E18,185.19567865857118,381.33011997467486,595.5556791501156,1754.959100204499,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,"EU 1 mM, 30 mins",Vehicle,120,No primary,No secondary,489,226.4081724501664,1761.605,241026_mACmChPOLR2A_ActivePolII
56,E19,185.21998491424188,247.5002691545314,612.9187504949597,1715.1258741258741,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,"EU 1 mM, 30 mins",10 µM 5PhIAA,120,No primary,No secondary,572,217.55168486853566,1779.1838422391857,241026_mACmChPOLR2A_ActivePolII
57,E20,184.9867399979168,385.1669591030721,613.6050386189826,1739.0499168053245,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,"EU 1 mM, 30 mins",Vehicle,120,No primary,No secondary,601,236.01669363868905,1660.8771331058022,241026_mACmChPOLR2A_ActivePolII
58,E21,187.14490761492968,248.4693350909724,650.459660590526,1772.3373493975903,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,"EU 1 mM, 30 mins",10 µM 5PhIAA,120,No primary,No secondary,581,227.36584606654722,1780.7216666666666,241026_mACmChPOLR2A_ActivePolII
59,E22,180.84204593765938,370.88693875890095,560.4292243103724,1772.846715328467,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,"EU 1 mM, 30 mins",Vehicle,120,No primary,No secondary,685,235.02516340205966,1868.3608124253285,241026_mACmChPOLR2A_ActivePolII
60,F03,173.80086211922222,189.02892407104923,418.6881141052821,1706.9271345552079,HCT116 OsTIRF74G,No addition,No addition,No addition,pSer2 3E10,Goat anti-rat Alexa647,2237,507.6137487594551,1633.3605804555473,241026_mACmChPOLR2A_ActivePolII
61,F04,219.98311114223088,268.3989217086569,453.8812949361031,1767.772667542707,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,30,Total Pol II F12,Goat anti-mouse Alexa647,1522,360.91800606880173,1692.9457038902883,241026_mACmChPOLR2A_ActivePolII
62,F05,230.71014419573535,231.89473666331753,481.5669255585158,1758.1056485355648,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,30,Total Pol II F12,Goat anti-mouse Alexa647,956,298.8594629081621,1775.7590176515732,241026_mACmChPOLR2A_ActivePolII
63,F06,216.8740460715161,265.95691086050505,443.69711313085014,1847.5102375102374,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,30,Total Pol II F12,Goat anti-mouse Alexa647,1221,358.7908149205688,1751.1440501043842,241026_mACmChPOLR2A_ActivePolII
64,F07,224.93840481692507,225.54450797445978,518.0104918947761,1700.7036747458953,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,30,Total Pol II F12,Goat anti-mouse Alexa647,1279,313.60865543034,1674.880361173815,241026_mACmChPOLR2A_ActivePolII
65,F08,221.24581102175478,269.61746076790763,499.23905853917574,1869.9556313993173,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,30,pSer2 3E10,Goat anti-rat Alexa647,879,517.9811488438953,1735.7464788732395,241026_mACmChPOLR2A_ActivePolII
66,F09,230.5476486610193,224.65062544805664,562.0102000913686,1768.7667638483965,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,30,pSer2 3E10,Goat anti-rat Alexa647,1029,507.8080646472227,1704.269001490313,241026_mACmChPOLR2A_ActivePolII
67,F10,224.0842182168294,265.1721479834328,514.4290807639163,1763.2193548387097,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,30,pSer2 3E10,Goat anti-rat Alexa647,1085,542.9291945459227,1732.5346228239846,241026_mACmChPOLR2A_ActivePolII
68,F11,223.9572156603665,220.14888262449074,532.6334082397453,1745.9071246819337,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,30,pSer2 3E10,Goat anti-rat Alexa647,1572,517.7873883889555,1740.0280948200175,241026_mACmChPOLR2A_ActivePolII
69,F12,247.93763880936166,186.78728852640168,470.14044374067737,1767.9140850888064,HCT116 mChPOLR2A Clone 2,No addition,Vehicle,120,Total Pol II F12,Goat anti-mouse Alexa647,2421,326.82025836728286,1682.966058855389,241026_mACmChPOLR2A_ActivePolII
70,F13,256.2320455629517,187.24850557051562,523.583036975683,1715.6940966010734,HCT116 mChPOLR2A Clone 2,No addition,Vehicle,120,pSer2 3E10,Goat anti-rat Alexa647,2236,500.3434208824587,1664.5390993028077,241026_mACmChPOLR2A_ActivePolII
71,F14,222.56839403736157,262.2261348268714,531.7002844633537,1843.855888807608,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,30,No primary,No secondary,1367,234.73038205006978,1754.5642836128272,241026_mACmChPOLR2A_ActivePolII
72,F15,228.3122749214889,222.72776909009352,573.817829824543,1858.9853620955316,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,30,No primary,No secondary,1298,264.93887022300464,1732.8957928802588,241026_mACmChPOLR2A_ActivePolII
73,F16,224.32265191680239,262.6787950460206,561.771661431665,1751.5917001338687,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,30,No primary,No secondary,1494,248.0426116846638,1655.2225405921681,241026_mACmChPOLR2A_ActivePolII
74,F17,221.0855718849246,219.31170579595565,541.9556304016354,1810.6112469437653,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,30,No primary,No secondary,1227,257.86676452270757,1768.7926670992863,241026_mACmChPOLR2A_ActivePolII
75,F18,223.78675926505656,265.8158959215021,536.9024265957546,1869.6575471698113,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,30,No primary,No secondary,1060,238.94303653088096,1719.1276901004305,241026_mACmChPOLR2A_ActivePolII
76,F19,233.79364262181602,221.7735924180495,627.9204229838138,1794.3057503506311,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,30,No primary,No secondary,713,232.63210309952092,1743.498538011696,241026_mACmChPOLR2A_ActivePolII
77,F20,222.4685383488711,258.75778313023034,550.2687221686806,1798.7092882991556,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,30,No primary,No secondary,829,250.69435483941157,1629.778310940499,241026_mACmChPOLR2A_ActivePolII
78,F21,227.41858522322036,218.86892568481926,588.4956629635312,1703.8145985401459,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,30,No primary,No secondary,685,249.29940884958174,1619.4487315010572,241026_mACmChPOLR2A_ActivePolII
79,F22,256.17401432655237,184.5827655882055,556.4628416128589,1708.045551982851,HCT116 mChPOLR2A Clone 2,"EU 1 mM, 30 mins",Vehicle,120,No primary,No secondary,1866,275.77945619084716,1615.466383739111,241026_mACmChPOLR2A_ActivePolII
80,G03,173.58402510174494,187.19066317333073,436.0462049530152,1693.4373681990721,HCT116 OsTIRF74G,No addition,No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,2371,326.305147959909,1628.8083182640144,241026_mACmChPOLR2A_ActivePolII
81,G04,226.6931638950677,217.69768650608748,504.78465638226817,1738.8340807174889,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,60,Total Pol II F12,Goat anti-mouse Alexa647,1115,308.6682776069833,1687.7322421247684,241026_mACmChPOLR2A_ActivePolII
