WELL,CELL,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY
I20,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,No secondary
I21,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,No secondary
I22,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,No secondary
J03,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,CDK9,Goat anti-rabbit Alexa647
J04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,CDK9,Goat anti-rabbit Alexa647
J05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,CDK9,Goat anti-rabbit Alexa647
J06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,CDK9,Goat anti-rabbit Alexa647
J07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,CDK9,Goat anti-rabbit Alexa647
J08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,CDK9,Goat anti-rabbit Alexa647
J09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,CDK9,Goat anti-rabbit Alexa647
J10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,CDK9,Goat anti-rabbit Alexa647
J11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,CDK9,Goat anti-rabbit Alexa647
J12,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,CDK9,Goat anti-rabbit Alexa647
J13,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,CDK9,Goat anti-rabbit Alexa647
J14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,CDK9,Goat anti-rabbit Alexa647
J15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,CDK9,Goat anti-rabbit Alexa647
J16,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,CDK9,Goat anti-rabbit Alexa647
J17,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,Goat anti-rabbit Alexa647
J18,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,No secondary
J19,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,No secondary
J20,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,No secondary
J21,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,No secondary
J22,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,No secondary
K03,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,DAPI only
K04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,No primary,DAPI only
K05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,No primary,DAPI only
K06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,No primary,DAPI only
K07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,No primary,DAPI only
K08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,No primary,DAPI only
K09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,No primary,DAPI only
K10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,No primary,DAPI only
K11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,No primary,DAPI only
K12,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,No primary,DAPI only
K13,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,No primary,DAPI only
K14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,No primary,DAPI only
K15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,No primary,DAPI only
K16,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,DAPI only
K17,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,DAPI only
