,WELL,IF_561_Intensity,GFP_Intensity,DAPI_Intensity_x,NucleusArea,CELL,EU,DRUG,DRUG TIME HOURS,PRIMARY,SECONDARY,TotalNumberCells,Alexa647_Intensity,DAPI_Intensity_y,NucleusArea2,EXPERIMENT
31,D14,3227.556365180408,206.00280404696454,489.8482143835759,1417.421875,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",Vehicle,2,pSer5 Pol II 3E8,Goat anti-rat Alexa568,832,653.930192368636,2135.91205446045,1429.2503176620075,260127_ARMC5mAC_PhosphoEU
32,D15,2872.809166384335,206.71471127728267,500.0857826777881,1412.6029207232268,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",Vehicle,2,pSer5 Pol II 3E8,Goat anti-rat Alexa568,1438,786.9656258263435,2335.2595094330454,1306.905529110216,260127_ARMC5mAC_PhosphoEU
33,D16,2864.2478674924273,179.65141059537947,488.90879395020323,1484.843152866242,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",10 µM 5PhIAA,2,pSer5 Pol II 3E8,Goat anti-rat Alexa568,1256,732.3601295863042,2175.181210893263,1439.3611650485436,260127_ARMC5mAC_PhosphoEU
34,D17,3443.873957431434,181.09548630541468,498.59806917362596,1454.5627044711014,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",10 µM 5PhIAA,2,pSer5 Pol II 3E8,Goat anti-rat Alexa568,917,617.2275419145385,2245.291596079419,1439.3545183714002,260127_ARMC5mAC_PhosphoEU
35,D18,3262.6387011553543,182.00103666096533,509.17241781244667,1421.5485398579322,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",10 µM 5PhIAA,2,pSer5 Pol II 3E8,Goat anti-rat Alexa568,1267,745.5163567146848,2380.879020401908,1306.9332197614992,260127_ARMC5mAC_PhosphoEU
36,D19,2872.293747031101,181.06594501422418,491.1155804325873,1471.519256308101,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",Vehicle,2,pSer5 Pol II 3E8,Goat anti-rat Alexa568,1506,834.8158627926045,2176.8192855299426,1417.4546023794614,260127_ARMC5mAC_PhosphoEU
37,D20,3135.0651689494753,208.31842813679376,511.7055475251797,1464.542,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",Vehicle,2,pSer5 Pol II 3E8,Goat anti-rat Alexa568,1000,701.5481041923317,2262.7857087982507,1407.2680913064594,260127_ARMC5mAC_PhosphoEU
38,D21,3052.745860546316,208.02418907446264,529.4342368178555,1381.5561752988049,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",Vehicle,2,pSer5 Pol II 3E8,Goat anti-rat Alexa568,1255,845.0550926239163,2525.7662462707954,1292.7039497969731,260127_ARMC5mAC_PhosphoEU
39,D22,2790.651268798421,180.55088112214685,473.13181717015624,1531.9055007052186,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",No addition,No addition,pSer5 Pol II 3E8,Goat anti-rat Alexa568,1418,644.4364340319544,2141.5841298736577,1460.6305348919589,260127_ARMC5mAC_PhosphoEU
40,E03,2719.9534907207735,177.12302170968564,441.5556873970904,1577.3248322147651,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",No addition,No addition,pSer5 Pol II 3E8,Goat anti-rat Alexa568,1490,825.9523206220108,1969.0822668318497,1465.4346599811972,260127_ARMC5mAC_PhosphoEU
