,WELL,CELL_IF_647_Intensity,CELL_IF_561_Intensity,CellArea,NUCLEUS_IF_647_Intensity,NUCLEUS_IF_561_Intensity,Nucleus_DAPI_Intensity,NucleusArea,CYTOPLASM_IF_647_Intensity,CYTOPLASM_IF_561_Intensity,CytoplasmArea,CELL,CELL_STAIN,DRUG,DRUG_TIME_MINUTES,PRIMARY_1,SECONDARY_1,PRIMARY_2,SECONDARY_2,TotalNumberCells,EXPERIMENT
26,E16,320.62726177145106,749.2850825184004,13684.893517477716,434.931719212264,1062.1745769970817,723.740783655712,6679.6057685881115,196.93561766672013,408.17092252839365,6275.256311481884,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Mg132,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,164581,260306_CytoplasmicPOLR2A
27,E17,255.15428429616952,556.54270160917,11113.28821651541,282.40151885633054,598.3903169776571,654.5203757142783,6098.763626285146,218.20853070453984,496.1399179445968,4345.264437530093,HCT116 mChPOLR2A clone 2,Concanavalin A 488,CB6644,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,247151,260306_CytoplasmicPOLR2A
28,E18,247.95311267860993,546.1682815071515,12070.394209258764,265.4372316412802,568.3344735259687,644.144819262241,6713.221974846133,223.5933471168578,514.8132601601341,4575.172956917313,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Leptomycin B,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,186850,260306_CytoplasmicPOLR2A
29,E19,260.05323755815743,603.976209175402,17009.292670612544,311.61766362020455,748.1713008677805,645.1617320638852,7209.111556446226,216.7504767519967,481.04642807501455,8855.872947445278,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Mg132 plus CB6644,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,128742,260306_CytoplasmicPOLR2A
30,E20,285.29064814493677,688.1637034703845,14456.10417603298,340.16425756374497,837.4796943912371,636.5132637965562,6719.373442364298,234.2012603352075,547.0270180272512,7143.778932367437,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Mg132 plus leptomycin B,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,117887,260306_CytoplasmicPOLR2A
31,E21,273.11610354459617,551.6201178251957,11884.727241242826,340.5735093506855,720.3887430052212,590.4120863382174,6172.289976251732,186.1872226733636,328.57996682562856,4976.229049849375,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,181908,260306_CytoplasmicPOLR2A
32,F04,348.1480650116022,416.47974208002626,9186.026025184312,431.78929355210465,532.6419693509449,577.3572125653004,5408.856786470672,207.44354632965994,213.32249955077233,3231.0203239976695,HCT116,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,286607,260306_CytoplasmicPOLR2A
33,F05,379.0551294788552,493.6170278514467,10901.620405529124,456.4894165520748,609.7024439904774,657.3807990574662,5635.186170186155,284.3149543878732,347.03143982548795,4584.213665721132,HCT116,Concanavalin A 488,Mg132 plus leptomycin B,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,199887,260306_CytoplasmicPOLR2A
34,F06,340.58211561937134,413.43783753406814,9281.662587393113,423.3877539372116,529.7504068372604,583.153653902806,5332.4233038402845,207.96434338143982,218.5744644956993,3409.510245833163,HCT116,Concanavalin A 488,Vehicle,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,269329,260306_CytoplasmicPOLR2A
35,F07,337.6328581438925,414.6203098146169,14232.189559723258,488.0313749239591,636.2610856929177,644.8783506554803,6585.257526422061,191.76791736996893,194.39730265393362,6864.406120580406,HCT116,Concanavalin A 488,Mg132,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,164919,260306_CytoplasmicPOLR2A
36,F08,298.7211462919542,335.39608351858567,9662.8423213133,327.77203175924905,360.6545816600178,581.9197360320599,5626.161879932809,249.2589060809806,288.3596032100941,3379.471049562578,HCT116,Concanavalin A 488,CB6644,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,280393,260306_CytoplasmicPOLR2A
37,F09,312.86639413162857,364.2360572519353,8764.954105212524,340.0963363914669,392.02155125707,549.0190079619324,5726.989606151806,256.59359888929123,303.1209983150231,2529.4729655943474,HCT116,Concanavalin A 488,Leptomycin B,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,307682,260306_CytoplasmicPOLR2A
38,F10,339.40766948659495,440.51685061500655,10489.517319463179,380.6944240364437,493.6687639257077,619.9314602077759,5912.6121704116895,279.2896464571515,358.6117212648836,3981.03250007089,HCT116,Concanavalin A 488,Mg132 plus CB6644,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,246861,260306_CytoplasmicPOLR2A
39,F11,345.0958806078686,437.43895399501184,8539.077857108987,417.33130765483844,545.3053336492377,559.9796980339509,5281.20584529511,208.2570226571068,225.6505308795406,2730.9320363358015,HCT116,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,295246,260306_CytoplasmicPOLR2A
40,F14,310.5432661360092,679.4528966224863,9277.471505021205,376.63940699322046,843.1841526645587,686.9002858805081,5489.882233837847,210.3478777664054,423.5481299049151,3540.87028155126,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,208914,260306_CytoplasmicPOLR2A
