,WELL,Alexa647_Intensity,GFP_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG TIME HOURS,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT
50,E15,1394.8990231827215,285.91882442034165,808.3883702185179,1487.6256914566686,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,24.0,pSer5 Pol II 3E8,Goat anti-rat Alexa647,1627,250210_ARMC5mAC_PhosphoPolII
51,E16,1299.7195601673427,338.31675715398234,862.0629907858039,1394.068796068796,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,24.0,pSer5 Pol II 3E8,Goat anti-rat Alexa647,2035,250210_ARMC5mAC_PhosphoPolII
52,E17,2109.142633299021,260.16645699135955,787.3668220773768,1516.5047248471374,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,24.0,pSer5 Pol II 3E8,Goat anti-rat Alexa647,1799,250210_ARMC5mAC_PhosphoPolII
53,E18,1943.1116455917052,263.6977995906045,793.0171805688974,1468.6274809160304,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,24.0,pSer5 Pol II 3E8,Goat anti-rat Alexa647,1965,250210_ARMC5mAC_PhosphoPolII
54,E19,1471.2299117565137,329.2957612187628,842.1363871635969,1417.8588110403398,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,24.0,pSer5 Pol II 3E8,Goat anti-rat Alexa647,942,250210_ARMC5mAC_PhosphoPolII
55,E20,1325.2722310790734,342.5090265976893,884.6685344529877,1373.6495215311004,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,24.0,pSer5 Pol II 3E8,Goat anti-rat Alexa647,1672,250210_ARMC5mAC_PhosphoPolII
56,E21,2309.483057919564,264.3345202184171,840.3680564334928,1481.939748953975,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,24.0,pSer5 Pol II 3E8,Goat anti-rat Alexa647,1195,250210_ARMC5mAC_PhosphoPolII
57,E22,2244.464611381124,268.53496063872086,814.8956234965676,1368.3369932432433,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,24.0,pSer5 Pol II 3E8,Goat anti-rat Alexa647,1184,250210_ARMC5mAC_PhosphoPolII
58,F03,555.5887857889797,338.26104213517175,733.6033832040872,1517.3591936469152,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1637,250210_ARMC5mAC_PhosphoPolII
59,F04,498.7533294843453,349.87202199956374,842.7714377707528,1425.5136830102622,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1754,250210_ARMC5mAC_PhosphoPolII
60,F05,487.69785348942384,268.0389861635935,757.0820143055277,1537.2998819362456,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1694,250210_ARMC5mAC_PhosphoPolII
61,F06,514.2895460954252,269.33042770134466,879.3957807586926,1433.6088379705402,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1833,250210_ARMC5mAC_PhosphoPolII
62,F07,476.0589589798724,327.0049273349882,721.4862579914677,1499.2289239204936,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1459,250210_ARMC5mAC_PhosphoPolII
63,F08,498.42492060303056,345.515809172111,840.776709224716,1379.2921727395412,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1482,250210_ARMC5mAC_PhosphoPolII
64,F09,474.1313250209015,264.4575069121316,755.263040999671,1462.5407407407408,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2160,250210_ARMC5mAC_PhosphoPolII
65,F10,511.1975496594855,270.39117105830144,866.5129575597634,1417.5378590078328,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1915,250210_ARMC5mAC_PhosphoPolII
66,F11,469.8014377077208,320.2762657631344,736.8837006094666,1516.1915887850466,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1712,250210_ARMC5mAC_PhosphoPolII
67,F12,515.3816655324837,263.16051877955397,858.3083532912208,1372.393611540443,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1941,250210_ARMC5mAC_PhosphoPolII
68,F13,1824.9249580541539,258.8746186760337,753.8878756782298,1444.0826771653544,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,8.0,pSer5 Pol II 3E8,Goat anti-rat Alexa647,1524,250210_ARMC5mAC_PhosphoPolII
69,F14,1767.6715549542253,260.0116313635403,833.2296003284954,1371.4504830917874,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,8.0,pSer5 Pol II 3E8,Goat anti-rat Alexa647,1656,250210_ARMC5mAC_PhosphoPolII
70,F15,1297.6318252535307,315.13818799614734,752.2706762047707,1478.0413555427915,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,8.0,pSer5 Pol II 3E8,Goat anti-rat Alexa647,1741,250210_ARMC5mAC_PhosphoPolII
71,F16,1292.7777121628908,341.0752965170588,828.8555557477682,1367.3493653974615,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,8.0,pSer5 Pol II 3E8,Goat anti-rat Alexa647,1497,250210_ARMC5mAC_PhosphoPolII
72,F17,1910.5255102980784,260.0876868567998,794.5647401216809,1417.5922059846903,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,8.0,pSer5 Pol II 3E8,Goat anti-rat Alexa647,1437,250210_ARMC5mAC_PhosphoPolII
73,F18,1755.404956690983,261.5068140427592,805.6741267087234,1357.2817745803357,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,8.0,pSer5 Pol II 3E8,Goat anti-rat Alexa647,834,250210_ARMC5mAC_PhosphoPolII
74,F19,1319.1309515746086,310.2525423968974,789.1965608168799,1419.91782729805,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,8.0,pSer5 Pol II 3E8,Goat anti-rat Alexa647,718,250210_ARMC5mAC_PhosphoPolII
75,F21,1710.1735101381464,258.41962843935676,762.9291484798489,1501.826,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,8.0,pSer5 Pol II 3E8,Goat anti-rat Alexa647,500,250210_ARMC5mAC_PhosphoPolII
76,G03,541.9537076542806,342.7423637923014,757.8018115674301,1494.9675792507205,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1388,250210_ARMC5mAC_PhosphoPolII
77,G04,505.30877234368154,349.0269974868296,786.9613363051943,1390.500296735905,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1685,250210_ARMC5mAC_PhosphoPolII
78,G05,493.59438649601987,263.1906911148512,771.9469890713721,1491.5387114239306,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1847,250210_ARMC5mAC_PhosphoPolII
79,G06,485.06729830835485,264.5512545117765,762.4500868556108,1426.4050564819795,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1859,250210_ARMC5mAC_PhosphoPolII
80,G07,468.1846230833963,320.45910597652437,744.5218672170722,1565.899294117647,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2125,250210_ARMC5mAC_PhosphoPolII
81,G08,488.294700927765,339.7918906125917,770.485378210137,1370.4052757793766,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1668,250210_ARMC5mAC_PhosphoPolII
82,G09,515.3059232381116,258.21375565652465,775.0002065580348,1438.2340012928248,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1547,250210_ARMC5mAC_PhosphoPolII
83,G10,498.2272385703116,261.49806676908076,774.1167477292365,1390.8718984420082,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1733,250210_ARMC5mAC_PhosphoPolII
84,G11,482.57916793615135,321.0547528494079,731.5113700072476,1493.1099397590363,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1992,250210_ARMC5mAC_PhosphoPolII
85,G12,505.7770884456181,337.7982645698907,781.2001240281929,1384.5963983050847,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1888,250210_ARMC5mAC_PhosphoPolII
86,G13,1479.0213666038856,255.7258940226734,736.4050801839365,1453.6986577181208,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,2.0,pSer5 Pol II 3E8,Goat anti-rat Alexa647,1490,250210_ARMC5mAC_PhosphoPolII
87,G14,1404.3918197876335,254.95551736060747,774.1391217827102,1394.0296540362438,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,2.0,pSer5 Pol II 3E8,Goat anti-rat Alexa647,1821,250210_ARMC5mAC_PhosphoPolII
88,G15,1333.889403572333,322.4824138693867,735.0595984542575,1493.9188820722563,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,2.0,pSer5 Pol II 3E8,Goat anti-rat Alexa647,1467,250210_ARMC5mAC_PhosphoPolII
89,G16,1319.2345490961877,336.4354939387493,741.1839804851652,1353.1192482177576,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,2.0,pSer5 Pol II 3E8,Goat anti-rat Alexa647,1543,250210_ARMC5mAC_PhosphoPolII
90,G17,1557.8744609941791,254.61165093767846,776.2405522844808,1421.4158415841584,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,2.0,pSer5 Pol II 3E8,Goat anti-rat Alexa647,1414,250210_ARMC5mAC_PhosphoPolII
91,G18,1454.4587189157269,257.91093962732884,774.5345690430216,1360.0911214953271,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,2.0,pSer5 Pol II 3E8,Goat anti-rat Alexa647,1712,250210_ARMC5mAC_PhosphoPolII
92,G19,1409.2473925398845,328.6628380398662,761.0948345548701,1463.4926335174955,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,2.0,pSer5 Pol II 3E8,Goat anti-rat Alexa647,1086,250210_ARMC5mAC_PhosphoPolII
93,G20,1338.4548133282276,334.4757606516788,753.5192707856411,1370.5299295774648,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,2.0,pSer5 Pol II 3E8,Goat anti-rat Alexa647,1704,250210_ARMC5mAC_PhosphoPolII
94,G21,1564.8736239618713,259.8451584172358,797.4233736790628,1424.65625,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,2.0,pSer5 Pol II 3E8,Goat anti-rat Alexa647,1088,250210_ARMC5mAC_PhosphoPolII
95,G22,1408.7572162830816,260.23375462256234,735.8648781143097,1388.917757009346,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,2.0,pSer5 Pol II 3E8,Goat anti-rat Alexa647,1605,250210_ARMC5mAC_PhosphoPolII
96,H03,525.6487349223348,340.9827845385375,720.7165708695827,1507.2314049586778,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,0.5,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1331,250210_ARMC5mAC_PhosphoPolII
97,H04,507.5279298438566,350.85501216864,800.3868046482131,1354.4922558922558,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,0.5,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1485,250210_ARMC5mAC_PhosphoPolII
98,H05,492.0777664427724,269.0413416298613,750.1226043033837,1483.5793103448275,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,0.5,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1885,250210_ARMC5mAC_PhosphoPolII
99,H06,509.2903315550128,269.47287687202646,813.3021854209727,1364.8875,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,0.5,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1520,250210_ARMC5mAC_PhosphoPolII
100,H07,463.6506597396357,319.1006002588112,690.9928163167971,1578.8854337152209,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,0.5,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2444,250210_ARMC5mAC_PhosphoPolII
