,EXPERIMENT,WELL,FOV,CELL,TREATMENT,LABEL,CellVolume,Spots_565,Spots_633,NucleiVolume,Nuclei561Mean,Nuclei405Mean
1737,250131,Well07,0007,OsTIRF74G,No treatment,37,0.917905376117128,16,19,0.612353806646365,104.18460405054624,179.2086250936025
1738,250131,Well07,0007,OsTIRF74G,No treatment,40,3.1817325288049783,70,72,1.25765492373554,102.78596713702784,190.6908650907125
1739,250131,Well08,0028,OsTIRF74G,No treatment,7,2.9342146942138894,5,129,1.0954440637111955,110.84680638384876,207.9223518811937
1740,250131,Well08,0028,OsTIRF74G,No treatment,8,3.392296892134115,13,239,1.3846776495546358,113.7812763614254,213.75633496361505
1741,250131,Well08,0028,OsTIRF74G,No treatment,10,2.581468156975247,6,136,0.9880020710525376,106.5964258075857,210.4021389847004
1742,250131,Well08,0028,OsTIRF74G,No treatment,16,1.66459423754272,5,128,0.6647293556268384,111.03539901959692,199.5896262711068
1743,250131,Well08,0028,OsTIRF74G,No treatment,17,2.6805398892282746,2,75,1.0900209736887725,109.22297343248142,210.91713413555985
1744,250131,Well08,0028,OsTIRF74G,No treatment,19,1.4546631504942724,2,88,0.6554303606088931,107.48401408905836,200.82316777612616
1745,250131,Well08,0028,OsTIRF74G,No treatment,21,2.941165907435367,5,125,1.105650613532737,103.52259302856824,198.9378800663946
1746,250131,Well08,0028,OsTIRF74G,No treatment,28,2.880504817284138,3,203,0.7234006027489455,109.45659079730171,202.7990496322668
1747,250131,Well08,0028,OsTIRF74G,No treatment,30,1.4178759407307624,5,46,0.897421324114837,112.34554199692954,211.2533362598253
1748,250131,Well08,0028,OsTIRF74G,No treatment,32,1.7708766356740289,2,83,0.6580979575170135,110.81547344148018,202.76334925873655
1749,250131,Well08,0028,OsTIRF74G,No treatment,33,1.6544893508030285,2,56,0.655204795646039,106.9355559255027,197.964155892854
1750,250131,Well16,0024,mAC/mChPOLR2A,Vehicle,4,2.740515812567454,4,165,1.1749880123255814,117.37889712456378,189.1243186340957
1751,250131,Well16,0024,mAC/mChPOLR2A,Vehicle,5,2.606448682368518,6,114,0.9477254878026216,114.5220636628664,176.93455152508625
1752,250131,Well16,0024,mAC/mChPOLR2A,Vehicle,7,1.2869328323178348,0,68,0.6907720484273521,110.94132698036006,177.11701796585277
1753,250131,Well16,0024,mAC/mChPOLR2A,Vehicle,8,1.319550796735069,1,69,0.5968703074825593,109.9436306602652,172.15187306386196
1754,250131,Well16,0024,mAC/mChPOLR2A,Vehicle,9,2.8104758977366275,2,136,1.2209799669582386,110.79033033064287,180.1925208549081
1755,250131,Well07,0017,OsTIRF74G,No treatment,2,1.9825571749226407,41,41,0.9166684752879556,104.6303537637216,194.32690161574664
1756,250131,Well07,0017,OsTIRF74G,No treatment,3,2.097313614522302,57,53,0.8054363558590866,107.90522502859696,183.3333762835768
1757,250131,Well07,0017,OsTIRF74G,No treatment,7,2.502412402951827,92,91,1.0228523873087227,109.65317872395497,199.5745950562961
1758,250131,Well07,0017,OsTIRF74G,No treatment,8,3.0633109233065463,104,96,1.2422455539022497,111.77562109617092,197.5743393060977
1759,250131,Well07,0017,OsTIRF74G,No treatment,9,2.7373557851066237,102,100,0.9911165619246224,113.0541987612017,211.5183121827276
1760,250131,Well07,0017,OsTIRF74G,No treatment,13,2.8204388797579045,93,93,1.1484084113740487,103.51301089874283,195.89484681913288
1761,250131,Well07,0017,OsTIRF74G,No treatment,14,2.583018518973456,88,88,1.0388696176522396,106.7624627930683,194.6143496432212
1762,250131,Well07,0017,OsTIRF74G,No treatment,16,1.7920363235744463,45,44,0.9460289851242536,112.27145481350138,217.457314254179
1763,250131,Well07,0017,OsTIRF74G,No treatment,17,2.602164007064725,109,106,1.0254850375324571,114.65933882095624,211.7345359839977
1764,250131,Well07,0017,OsTIRF74G,No treatment,19,2.4726420638168225,89,87,0.9809301329213636,112.05652885495655,206.59775145527087
1765,250131,Well07,0017,OsTIRF74G,No treatment,22,2.2172580482676083,44,44,1.0588029946278443,105.5016597937835,196.87355261881356
1766,250131,Well07,0017,OsTIRF74G,No treatment,28,1.1356528715732117,36,35,0.556840469004216,100.86946152880633,197.6374438498199
1767,250131,Well07,0017,OsTIRF74G,No treatment,30,1.4791184166313196,17,22,0.9078142562531032,111.57397126842385,212.485072528857
1768,250131,Well07,0017,OsTIRF74G,No treatment,31,1.4122791762768458,58,57,0.5912089446120506,110.79020771088136,204.22260315686148
1769,250131,Well07,0017,OsTIRF74G,No treatment,32,1.41093637640408,45,44,0.5835354999132657,112.46645191731848,206.92027112861368
1770,250131,Well07,0017,OsTIRF74G,No treatment,33,2.2789336512564637,81,80,1.0492509008957107,109.0194811683049,205.96707216268015
1771,250131,Well07,0017,OsTIRF74G,No treatment,35,1.7524067834808863,57,58,0.6738356143854436,108.41596416784536,198.5380465189376
1772,250131,Well07,0017,OsTIRF74G,No treatment,36,1.5523391333527377,53,52,0.6284695231004239,107.88740287904344,197.69825986880352
1773,250131,Well07,0017,OsTIRF74G,No treatment,37,1.6574767628228009,69,68,0.6635506992716428,106.4699307998238,194.067012135566
1774,250131,Well07,0017,OsTIRF74G,No treatment,38,2.2817812765386924,78,80,0.8367443491070691,106.3348963593517,181.5071886540764
1775,250131,Well07,0017,OsTIRF74G,No treatment,39,1.843759534446384,79,79,0.7446450098842377,106.42460873336984,190.99297319974687
1776,250131,Well07,0017,OsTIRF74G,No treatment,40,1.7058450919936965,68,68,0.7429548611484854,107.07569034549702,193.3772087991345
1777,250131,Well07,0017,OsTIRF74G,No treatment,43,1.5654377860548176,63,64,0.6835158459603254,101.5528344186378,190.528864760683
1778,250131,Well07,0017,OsTIRF74G,No treatment,44,1.8959359932249016,73,75,0.7591150552008535,99.876736292756,182.9523303326177
1779,250131,Well07,0017,OsTIRF74G,No treatment,52,1.9293513774403943,75,77,0.8166044689964572,105.04880199606804,182.96651346879068
1780,250131,Well07,0017,OsTIRF74G,No treatment,54,1.737276987122683,71,72,0.7809228452480631,97.8614470411786,174.67533515409087
1781,250131,Well07,0017,OsTIRF74G,No treatment,56,1.273716631677366,33,31,0.6503239087268146,94.8182537640572,169.02802158613122
1782,250131,Well15,0022,OsTIRF74G,No treatment,4,1.4180676179996663,1,77,0.7197227289649433,105.1873472516704,182.19907861766168
1783,250131,Well15,0022,OsTIRF74G,No treatment,6,2.288312070557104,14,177,0.8259500595935836,108.9184079308563,181.29969318192016
1784,250131,Well15,0022,OsTIRF74G,No treatment,7,1.6773275385444026,2,99,0.8056365050514782,110.26489729336096,181.42549611637853
1785,250131,Well15,0022,OsTIRF74G,No treatment,10,1.72859220655758,5,117,0.7107541389630098,110.63122316221715,189.4323769820103
1786,250131,Well15,0022,OsTIRF74G,No treatment,12,1.8611185056722304,5,91,0.7391181387990929,110.29432936072418,188.91927455705743
1787,250131,Well15,0022,OsTIRF74G,No treatment,13,1.622903902060831,4,94,0.6824748583618013,110.94955606106215,193.1040797072889
1788,250131,Well15,0022,OsTIRF74G,No treatment,14,1.6720347043455992,5,63,0.7028064157413174,108.86006626917218,189.6793343549454
1789,250131,Well15,0022,OsTIRF74G,No treatment,15,3.111714199161827,15,196,1.237805207004374,112.3222900379346,202.34695436726915
1790,250131,Well15,0022,OsTIRF74G,No treatment,16,1.7697085692231926,2,68,0.6864344236017623,108.22689706987228,191.23079403329544
1791,250131,Well15,0022,OsTIRF74G,No treatment,18,1.7627986566287168,3,107,0.7205762752563069,108.98768144589432,197.9666684792273
1792,250131,Well15,0022,OsTIRF74G,No treatment,27,3.099239291826513,2,255,1.1050914665825633,108.66629133913352,198.39289509771132
1793,250131,Well15,0022,OsTIRF74G,No treatment,31,1.646334065455893,1,105,0.6984825577913948,105.80058492299575,184.67417605909267
1794,250131,Well15,0022,OsTIRF74G,No treatment,33,1.8982170586239056,1,75,0.8866111497448125,103.06677074088982,175.48674128637174
1795,250131,Well15,0022,OsTIRF74G,No treatment,39,2.9375812248097266,2,136,1.0631533273386653,107.21674995592326,194.0553454370868
1796,250131,Well04,0006,mACPOLR2A,Vehicle,4,2.33105821950362,1,126,0.8173478802824835,113.17169591794956,213.65516222736449
1797,250131,Well04,0006,mACPOLR2A,Vehicle,6,1.6393828522344154,1,96,0.7906295515838433,103.4276776481808,185.2482507085568
1798,250131,Well04,0006,mACPOLR2A,Vehicle,8,2.057769852654053,2,129,0.8181950726312315,103.8571299141361,191.34384262339216
1799,250131,Well04,0006,mACPOLR2A,Vehicle,11,2.2127488669913973,2,159,0.9441270383013144,106.18686198522772,189.8347770979266
1800,250131,Well04,0006,mACPOLR2A,Vehicle,12,2.5155237635391385,5,113,0.8877675673008536,112.1242778669116,205.92542659978648
1801,250131,Well04,0006,mACPOLR2A,Vehicle,15,1.9823559667398136,5,109,0.78204643410059,110.29049280755278,200.2585976928379
1802,250131,Well04,0006,mACPOLR2A,Vehicle,16,2.274908428609474,3,117,0.8640758332681157,111.8621668425368,214.5528253811847
1803,250131,Well04,0006,mACPOLR2A,Vehicle,17,1.7458071550841396,2,111,0.7399663901382768,105.7258077673321,203.713212364418
1804,250131,Well04,0006,mACPOLR2A,Vehicle,25,3.336528337796905,3,144,1.6608581192847414,106.84906024901473,184.64981786486484
1805,250131,Well04,0006,mACPOLR2A,Vehicle,26,2.1433680495906797,0,153,0.8982568675687898,106.50436797057368,205.03787932376036
1806,250131,Well04,0006,mACPOLR2A,Vehicle,27,3.1418287101885114,2,202,0.9139839345328604,109.7872898058213,203.8354063570668
1807,250131,Well15,0032,OsTIRF74G,No treatment,3,3.848903916377082,32,195,1.3785873955575736,111.95958807614724,198.0329314776378
1808,250131,Well15,0032,OsTIRF74G,No treatment,5,3.637196902367572,18,172,1.3308078650690582,108.30434972896754,192.7598275132174
1809,250131,Well15,0032,OsTIRF74G,No treatment,7,4.075758729582208,37,215,1.3173110319630663,110.9247008073599,193.6182095309145
1810,250131,Well15,0032,OsTIRF74G,No treatment,15,3.693220673399842,6,175,1.229270803081174,107.754112483255,191.68857722509145
1811,250131,Well15,0032,OsTIRF74G,No treatment,20,2.816418952063095,14,142,1.2242098877878405,108.77890703934894,189.50647395883797
1812,250131,Well15,0032,OsTIRF74G,No treatment,23,2.805058102666385,5,193,1.1605518547029154,103.1915404998978,182.94457908721927
1813,250131,Well04,0016,mACPOLR2A,Vehicle,5,3.026760927400685,0,111,0.9738274840675476,100.11475443707516,167.26093188093273
1814,250131,Well04,0016,mACPOLR2A,Vehicle,7,3.451035914644122,1,192,1.2660675437586073,105.5321820563393,189.1376538841797
1815,250131,Well04,0016,mACPOLR2A,Vehicle,10,3.2882574357461163,0,250,1.2578879016314457,108.45397527230602,189.21806623573644
1816,250131,Well04,0016,mACPOLR2A,Vehicle,11,2.552579956873376,0,130,0.9884034284277572,106.33240977344926,215.19965500431243
1817,250131,Well10,0018,mChPOLR2A,Vehicle,6,2.7313280115452816,5,142,1.1466081276329592,120.48283101067018,211.11334054345608
1818,250131,Well10,0018,mChPOLR2A,Vehicle,11,2.3418016774761803,9,132,1.0577916587615264,120.26833375380932,218.62741623517823
1819,250131,Well10,0018,mChPOLR2A,Vehicle,12,2.797930038042106,10,173,1.1437329685993958,124.3514446927933,216.16954932399528
1820,250131,Well10,0018,mChPOLR2A,Vehicle,13,1.9355136427871005,10,91,0.8219311908892103,120.87565354971872,214.48374532626596
1821,250131,Well10,0018,mChPOLR2A,Vehicle,14,1.9909464971561184,4,112,0.8564288633302289,123.73125746548256,223.3466568239766
1822,250131,Well10,0018,mChPOLR2A,Vehicle,15,2.6678690686623123,10,144,1.0787564924217314,124.9003254259251,222.0258711156268
1823,250131,Well10,0018,mChPOLR2A,Vehicle,18,2.1560949966497462,5,116,0.9107624856267462,122.51196994519952,225.03497905303195
1824,250131,Well10,0018,mChPOLR2A,Vehicle,20,1.7003277518224749,4,95,0.6502222456449648,120.4369448307986,206.2756603398686
1825,250131,Well10,0018,mChPOLR2A,Vehicle,23,2.4952864563084205,1,109,0.8295898097218921,115.9898312181348,189.44014383860664
1826,250131,Well10,0018,mChPOLR2A,Vehicle,24,2.9031619176609675,10,134,1.1744256884041,121.09482914865129,211.4941591787233
1827,250131,Well10,0018,mChPOLR2A,Vehicle,27,2.389143844914655,1,127,0.9111130114610408,119.64082825793854,183.65423194941653
1828,250131,Well10,0018,mChPOLR2A,Vehicle,31,2.055001651654518,7,104,0.9221423968513038,115.6123372857512,217.63558898682209
1829,250131,Well10,0018,mChPOLR2A,Vehicle,34,1.6146522485840251,3,102,0.6345703670018454,114.16463848123068,199.33592892116775
1830,250131,Well10,0008,mChPOLR2A,Vehicle,7,2.525801265719888,4,100,0.9947520760911874,114.93035642046544,205.84731513615944
1831,250131,Well10,0008,mChPOLR2A,Vehicle,9,2.6566056463857075,13,106,1.1359366810100424,121.18810060969923,210.2539527902597
1832,250131,Well10,0008,mChPOLR2A,Vehicle,10,2.562880756843716,5,113,1.0167187147037873,116.6811504838644,221.1704810938221
1833,250131,Well10,0008,mChPOLR2A,Vehicle,11,2.733098643554165,5,130,1.0243106171390053,118.81747466017129,200.32804998077023
1834,250131,Well10,0008,mChPOLR2A,Vehicle,13,1.9926959493562828,4,92,1.051508668505124,123.06810415586116,220.8075443004829
1835,250131,Well10,0008,mChPOLR2A,Vehicle,14,2.534661838697356,9,125,1.0756991870331871,125.84069156843326,221.39976353100772
1836,250131,Well10,0008,mChPOLR2A,Vehicle,16,3.2003972352383325,8,129,1.1914743754322177,117.5957591475988,209.9126311878724
1837,250131,Well10,0008,mChPOLR2A,Vehicle,18,3.0374630847462445,8,161,1.1694823210491554,120.4591415482774,214.64250224342751
